gid;geom;OBJECTID;CIV_1;PK_ID;Fecha_Fina;Estrategia;Programa;Zonas;Nombre_Loc;UPZ;Barrio;Mes_Report;Grupo_Cont;Ingeniero_;Director_d;TOTAL_ARE;No__HUECOS
1204;0106000020E6100000010000000103000000010000001C000000048DCB7E5E8852C0C03023A8597D1240AC2299915E8852C0C08EA1B24D7D12403C39C1955E8852C074CEED154D7D1240603488985E8852C0D6A099714C7D1240A9B3E0995E8852C04083BCC84B7D1240083228F15E8852C0C0F8C8250F7D1240A4CDF6F05E8852C0801273250F7D12407F9659EC5E8852C0A11BF25A0E7D1240198DB4E55E8852C0DAD0729F0D7D1240079636DD5E8852C0676720F80C7D12406C9F1BD35E8852C0DBB297690C7D124008FAAAC75E8852C0C897C6F70B7D1240F06135BB5E8852C0F350D0A50B7D1240C8C412AE5E8852C0C04AF7750B7D124060CAD6E65E8852C000AB0DCA0B7D124079025CEE5E8852C0C07BABD60B7D124074CD909C5F8852C0C03153FA0C7D12409C8878FD5F8852C0404CA99C0D7D12401C83F750608852C040F772280E7D1240D294EF43608852C01139EB320E7D124091E21A37608852C0769FCB580E7D124066CFB22A608852C093C26A990E7D12408CD8EE1E608852C0009CA7F30E7D1240B4D70617608852C00009E9420F7D12407A122B0F608852C0E62502A40F7D124060E3F407608852C000F43311107D1240583CF4915F8852C0407CDA1B5B7D1240048DCB7E5E8852C0C03023A8597D1240;1;8006455;147733;Fri Jul 31 00:00:00 COT 2020;Rehabilitación Vial como Complemento al Mejoramiento de la Infraestructura de Servicios Públicos;Misionalidad;Zona 05;KENNEDY;AMERICAS;HIPOTECHO OCCIDENTAL;Julio;Rehabilitacion Rigido;LUISA FERNANDA PÉREZ PACHÓN;ING. MANUEL AVILA / ING. RAMIRO ROBLES;167.88;0
1205;0106000020E61000000100000001030000000100000013000000C868A790728952C0007AED83406712401C9E3A63738952C0C0B3B4CF3A67124081359B81738952C05288A6183B671240FAC652A0738952C01DD3511B3B6712401B96BFBE738952C05F86A8D73A6712401C7041DC738952C0C0E40E4F3A6712409496B288788952C080F27A0F1B67124069CB65A4788952C0E7179FE419671240CA99AEBC788952C0473A82751867124023ACE6D0788952C0F7DCF6CB16671240508583E0788952C080BC5FF314671240B8453073798952C080680D8F11671240604B4AD2798952C000A1FE39206712405513D740798952C0404643F123671240B03D2E35788952C0C076CAC62A671240C44F4609788952C0C095BFE52B6712403C2204B6738952C0C0DC82474967124070FC27EA728952C000876B854E671240C868A790728952C0007AED8340671240;1;8011407;148958;Thu Jun 25 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Junio;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;0;0
1206;0106000020E61000000100000001030000000100000009000000E453521D6E8952C04073B9DDA56612404028731C6D8952C0008930BD7E661240000B6FF56D8952C00025B11179661240D8BB520B6F8952C080C59760A36612405CA69A176F8952C040C54E39A566124079E40C4E6F8952C0C03D9860AD66124094318C5B6F8952C0C01C6866AF661240150AE07F6E8952C0C0F70405B5661240E453521D6E8952C04073B9DDA5661240;1;8011442;148979;Thu Jun 25 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Junio;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;0;0
1207;0106000020E6100000010000000103000000010000001000000018F045F0E98652C00070D6A8D3E412400C535DEBEB8652C00012976FBFE4124038352D37EC8652C08016C7C0BBE41240FC169C75F18652C04181CC3686E41240007F0524F28652C0000289CD97E41240EC6989C0F18652C0C0DC1E1A9CE41240E8FB312CED8652C0C0C08ECFC9E412409CD16808ED8652C0C07B2731CBE4124048E454FBEC8652C040BB56B2CBE41240A832F8A0EC8652C080E63887D0E4124085B9C0BFEA8652C000FE041AE3E4124030107365EA8652C040884C96E6E41240DCDEBED9E98652C00043A9FAEBE41240043967C5E98652C0406505B2E3E412408CA761CFE98652C0808BF993DAE4124018F045F0E98652C00070D6A8D3E41240;1;10000193;163513;Tue Mar 03 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 02;ENGATIVA;BOLIVIA;CIUDADELA COLSUBSIDIO;Marzo;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
1208;0106000020E610000001000000010300000001000000160000005846BFBDB88952C0C00A9CFF66701240C4262A02B98952C0406768E358701240810C600CB98952C05015A9FC577012401A752C14B98952C0F35FF5FE5670124078045D19B98952C04098B3F0557012407C00C9A9BA8952C0407B380CDC6F1240E4DFF707BB8952C0808CA860BF6F12404CA4C18EBB8952C04021D51AC46F12406F557CACBB8952C0A7431F3DC56F1240C40DCEC6BB8952C0805F15AAC66F124070285EDCBB8952C0B1E08A49C86F1240FFD283EDBB8952C0A18AB11ACA6F1240E5BFCEF9BB8952C005EBA211CC6F1240C06CEE00BC8952C0470C8121CE6F1240A331B402BC8952C0EABACA3CD06F1240A87214FFBB8952C001F8B355D26F1240701CC9FCBB8952C000A81700D36F1240942177D9BB8952C080D7B635DD6F1240D8FC9722BB8952C040A056061270124098D35A08BA8952C040073E8A637012403099C7EDB98952C0406C702A6B7012405846BFBDB88952C0C00A9CFF66701240;1;8009612;149528;Mon Feb 03 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 05;KENNEDY;TIMIZA;TIMIZA A;Febrero;Sello de Fisuras;XIMENA VARGAS;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
1209;0106000020E6100000010000000103000000010000000D000000ADA5856D598952C0402D13A1B87712405C31ACAD5B8952C080C85ACC9A77124000AAB5B95C8952C080562DD28C771240F00056145D8952C040C896528877124018D770A55F8952C0409E026D66771240549929AD5F8952C0015D2EEF65771240DC2A3482608952C040AAEB1B5B771240BC67AD33618952C0C087B1D86877124040F25B95608952C0002D10E470771240DC23289F5A8952C04113363EBE771240CD5B2D915A8952C000DAA417BF771240A89B55165A8952C080D6D673C5771240ADA5856D598952C0402D13A1B8771240;1;8007596;148750;Tue May 26 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;PROVIVIENDA OCCIDENTAL;Mayo;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;0;0
1210;0106000020E6100000010000000103000000010000001B000000C4428132FE8252C0000BAF0BDCB5124090B18144F88252C040960CC8AAB5124098CEC8CCF78252C040A5C3E5A6B51240500BA9CBF78252C081BE19DCA6B5124090C871B9F78252C080F5B344A6B51240887677C5F58252C040AE916E95B5124048568C8DF58252C040AE868C93B5124062FDD16BF58252C00334ED5D93B5124044AD0A4AF58252C0F513EE8193B512403886FF28F58252C080EEB2F793B512405D871814F58252C029C2778394B51240747B6200F58252C04069213695B512405DEFF9BFF58252C0C0B3492F7EB51240BECFD0BDF58252C0459D9AB77EB51240D63D25BDF58252C04E6CD3437FB51240794AFCBDF58252C0B43DD0CF7FB512402F9C4FC0F58252C0C0F36E5780B51240259F0DC4F58252C01C74AED680B512401A0A1AC9F58252C033ECCC4981B5124021B44ECFF58252C0443764AD81B5124014B57CD6F58252C0808F83FE81B512403CC66F19F68252C08040ED2C84B51240D0C9FB33018352C08080EEC6E0B512401877F7BE008352C0C0AE03CEEFB512408CB7B5B5008352C0C0635AFEF0B5124040A3EA40FE8252C04002CF83DCB51240C4428132FE8252C0000BAF0BDCB51240;1;2000308;143420;Fri May 22 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 02;CHAPINERO;CHICO LAGO;CHICO NORTE;Mayo;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;63.09;63
1211;0106000020E6100000010000000103000000010000000F000000943B47A5178352C000458FCEAFB61240F8C84365178352C0C050B0B5ADB6124060252005138352C0C006760489B61240703B7B01128352C0812B1D8380B6124090CB3B2B028352C001669B28FDB512408CB7B5B5008352C0C0635AFEF0B512401877F7BE008352C0C0AE03CEEFB51240D0C9FB33018352C08080EEC6E0B51240FC0034E2138352C00104DD407CB61240E65BF2FB138352C0673A52B67CB6124074F97816148352C0407904F07CB6124068F85081178352C0400F0F2499B61240C8504A45198352C080BA2BB6A7B612405CDCF5BB188352C0C0A28A73B8B61240943B47A5178352C000458FCEAFB61240;1;2000289;143422;Fri May 22 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 02;CHAPINERO;CHICO LAGO;CHICO NORTE;Mayo;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;123.62;124
1212;0106000020E610000001000000010300000001000000110000007C7A7385258252C000ED49863ACF1240EC4026E4268252C0007376770CCF124030A7308E288252C0C04A6113D6CE1240642386062A8252C040E68DA5A5CE1240CC97FA532C8252C040CCC8DC59CE1240F43D6B302D8252C0C0C0C07B60CE12406C0F45F82C8252C0400276126ACE12404001C9DE2C8252C0C004E50C7ECE1240ECF4DBBB2C8252C040E7B65E82CE124060DBFACD2A8252C000C6F2FDC0CE1240DCB93C452A8252C000DC32A3C9CE12403038AAD0298252C080F52105D5CE1240B87194B4298252C0406B59A0D8CE1240D043093A278252C0805DC5172ACF124014455909278252C0C022057230CF124059FF7E96268252C0805B5BE041CF12407C7A7385258252C000ED49863ACF1240;1;1004682;136815;Fri Jun 19 00:00:00 COT 2020;Situaciones Imprevistas y Apoyo Interinstitucional;Ciclocarriles;Zona 01;USAQUEN;SANTA BARBARA;SANTA BARBARA CENTRAL;Junio;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;156.59;156
1213;0106000020E61000000100000001030000000100000007000000B49F451C368852C0007CFA2199CC1240684255AA368852C0C0797C2C91CC124028AF046E378852C040AE153A9DCC1240AC2BC33E358852C040FBDA3FBECC1240A84E37EB348852C08072BFF7C2CC1240E177292E348852C0007FF1CDB5CC1240B49F451C368852C0007CFA2199CC1240;1;10005592;165137;Wed Sep 09 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 02;ENGATIVA;ENGATIVA;EL MUELLE;Septiembre;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING. ANGEL RICARDO IBAGON;236.2;236
1214;0106000020E6100000010000000103000000010000002800000020461603C08452C00073164CB568124028A695ECBF8452C0000E780DB8681240D486E8E2BF8452C00010CD3CB9681240784445CFBF8452C0C0D252A4BB68124034610FAEBF8452C0402262B5BF681240B8F7EE91B88452C0C0B264939E69124018E6D37CB88452C000BFF51FA16912407C9E7ED1B78452C0C0349DE99A6912402C72FE0FB88452C001EA5B2891691240843B4A37BF8452C040D898EEAD681240A827A248BF8452C0804CB3C7AB6812408065A94BBF8452C000713AE5AB681240149AFA5FBF8452C04040CD63A96812400C66BD5FBF8452C00009DB61A96812408094238DBF8452C0803F58B4A36812406001799ABF8452C0C0478809A2681240709BF79FBF8452C0C0A99259A1681240641D9DD9BF8452C000528C2E9A6812402C7074F3BF8452C00018E61197681240786CC10EC08452C0805A49C893681240E81DDD24C08452C080B9A71D916812401CB00B3CC08452C0C0D0F3538E68124094FB7A44C08452C0C000F94F8D681240B4FD9F81C08452C00043488A8668124094E0D7BFC08452C0C01A32DC8868124044D08ED7C08452C080CD8DBE89681240107FC8E6C08452C04066E94F8A681240C436114CC18452C000E655F68D68124061367D4DC18452C000F96B038E6812405CE3FB2EC18452C0009B6479916812408873F026C18452C000E9106392681240D4D6F9FEC08452C000C64C2697681240583F9DF5C08452C000E1F8199868124064A0EEE0C08452C08082EC859A681240C41678AAC08452C0804BCAE2A06812402CA0EC6DC08452C0805874F5A7681240E0C66A49C08452C000A33F39AC681240F0848647C08452C08172E371AC68124004EC982AC08452C000801FD3AF68124020461603C08452C00073164CB5681240;1;3000714;143805;Wed Feb 26 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 03;SANTA FE;LAS NIEVES;VERACRUZ;Febrero;Parcheo;JESICA ALEXANDRA ARDILA DÍAZ;ING. ORLANDO RIVERA/ING. SANTIAGO VARGAS;39.03;30
1215;0106000020E6100000010000000103000000010000000F00000074544EDEB48352C000F0B0F3B09412405DFF29E0B48352C00085DFB3999412406616BEB7B58352C02C7619609A94124002DB7C8DB68352C08B15E2409C941240988FAD5FB78352C000045A529F94124038EA65D0B78352C03EDC4322A2941240397B6144B88352C080DB545EA4941240D8097D50BA8352C0402233A0A99412406070D990BB8352C08026E3D6AC941240ECF2C3F4BC8352C000F35354B1941240CCE6BFA7BC8352C040B94110C7941240E4D903B2B98352C040E0856BBD941240D8FEE324B78352C00085378FB694124039D77203B68352C085333801B394124074544EDEB48352C000F0B0F3B0941240;1;2001514;142816;Wed Jan 15 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 02;CHAPINERO;PARDO RUBIO;LA SALLE;Enero;Parcheo;XIMENA VARGAS;ING.CARLOS CASTAÑO/ING. ALEXANDER SANDOVAL;107.4;29
1216;0106000020E610000001000000010300000001000000290000007C1FE84A9F8952C080832DB35E7B1240751F060E968952C080DAE43CD87A1240C897CEFF958952C0BA233A66D77A12401440B5EF958952C0567CD0B4D67A12400AC51ADE958952C0B741D12CD67A12401FDC68CB958952C0991D6DD1D57A1240C0C80FB8958952C000DEC8A4D57A1240AC7A15AB958952C06727A0A1D57A1240EC47279E958952C0809E9DB3D57A124048F7CB0B968952C080958F5BCE7A124068BCFD84968952C00093663DC67A1240A4EC3382968952C00B250CC4C67A12401A0E9180968952C00FB9744FC77A1240A5AC1C80968952C04B581DDDC77A124008E1D880968952C041AB786AC87A124086880983968952C09203E303C97A12406951A186968952C025916096C97A12405DBD8B8B968952C074C4AD1ECA7A124087C2AC91968952C0A72BC199CA7A1240706BE198968952C000C5DC04CB7A1240C4C27FD6968952C00116E4A1CE7A124035481B56978952C0C073831DD67A1240308D3DB3988952C0406AC896EA7A1240C0689061998952C00098C2CFF47A12402865D5C49B8952C000445CA8187B1240AC4CC0FB9F8952C080583694567B124098881B04A08952C03E877917577B124058277D0DA08952C040BB9D87577B124046170017A08952C0818F06DD577B1240C1161B21A08952C078A6B01E587B12407D5BA52BA08952C000F3924B587B124070441ABC9F8952C0C0F9A9E55F7B1240843269609F8952C0C00E8A25667B1240CE7BB0669F8952C0DD8F9316657B12403F08F4699F8952C0076C59FA637B12405ECE1A6A9F8952C0C0EF5FD9627B1240BEA423679F8952C06CD24FBC617B1240E24A25619F8952C0F0C9B3AB607B1240C1BA4D589F8952C08204B7AF5F7B124018C8E04C9F8952C0407FE6CF5E7B12407C1FE84A9F8952C080832DB35E7B1240;1;8006910;146035;Wed Jan 08 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;KENNEDY CENTRAL;CIUDAD KENNEDY ORIENTAL;Enero;Sello de Fisuras;XIMENA VARGAS;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
1217;0106000020E6100000010000000103000000010000003C0000007C47786E068252C0C040ABA8CEF61240803805B5FC8152C0C09CE4F8B5F612409131D8A4FC8152C014976D1DB6F61240E7B34795FC8152C0C94FD26CB6F612401C75C486FC8152C0E4D9D3E4B6F61240098DB779FC8152C021300D82B7F61240C77C7F6EFC8152C0ECC90B40B8F6124050826D65FC8152C00DD06F19B9F61240304CC35EFC8152C0C1071308BAF61240E41DB15AFC8152C0805A3505BBF6124040E88E68FC8152C0406ED036B5F61240DCE4AF77FC8152C0809C65E1AEF6124048E49C87FC8152C080475936A8F612403C56A195FC8152C0005EEA57A2F61240AC592196FC8152C07A6F2D6CA3F61240FA546399FC8152C01E7A987BA4F612400BC5519FFC8152C095362B7FA5F612400B7FC5A7FC8152C0FF943370A6F612400EB386B2FC8152C09AF37948A7F612409D5C4EBFFC8152C0E12C6A02A8F61240AC17C8CDFC8152C02F6E3899A8F61240DC4D94DDFC8152C080E30009A9F6124080A62556068252C0C067283FC0F61240187C20CD068252C080B18D45C1F61240EC19A8DD068252C0C02EED69C1F61240D1C3B1DD068252C00108C465C1F612400CE7BCF4068252C000FBEF89C1F61240848373FC068252C0C125B790C1F61240DC322B04078252C0C0604795C1F61240EC895E0E078252C08036D497C1F612408C79551B078252C0C0604795C1F6124030EB1B51078252C0C0C5F445C1F61240F8FF016E078252C080C64277C0F61240B4A92174078252C0C095393FC0F612402BBA9585078252C049F6C283BFF612403473AD95078252C000225DABBEF61240540620AB078252C084EF2FF6BCF61240D11682BC078252C0F3C40315BBF61240C9D37AC9078252C09F1B7311B9F6124072F6C7D1078252C00326C8F5B6F61240C4143FD5078252C0C03CC8CCB4F612404C1A17CC078252C0C0F97FAFCAF61240C48225CB078252C0800DF7EFCCF6124018F664C6078252C080BFE949D8F612409DE923C5078252C00004AA4FD7F61240F69337C1078252C0B52B8B4DD6F6124017B513BB078252C02FF4BB56D5F612404D2DD7B2078252C040781570D4F61240EA3615A9078252C091905B9DD3F612401074959D078252C080BE76E2D2F61240E5521D8E078252C02336F425D2F61240AD13167D078252C0DC3DBC8FD1F6124068C4DD6A078252C0808E0C23D1F61240A72B8D5B078252C031291CEBD0F61240F8D8ED4B078252C08009C6D0D0F6124054DD0947078252C000EC7DCED0F612409C9F2B0F078252C00034353ED0F61240BC6163DD068252C0C0C0B1BDCFF61240742C14BB068252C0C0FC3C64CFF612407C47786E068252C0C040ABA8CEF61240;1;1001886;140755;Wed Aug 05 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 01;USAQUEN;SAN CRISTOBAL NORTE;SAN CRISTOBAL NORTE;Agosto;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING.JESUS FORERO;337.49;338
1218;0106000020E610000001000000010300000001000000390000000420B841828352C0804779FAC9C112405CCA0F48818352C00010CD5DC7C112407B31585A818352C049595529C7C112405F24E66B818352C02F3E33C8C6C1124059384D7C818352C010A4BE3CC6C11240DB1F288B818352C042D2548AC5C112401C1C1B98818352C0D3AA43B5C4C11240BA33D6A2818352C04615AFC2C3C11240A02017AB818352C08E3F71B8C2C112405CE9AAB0818352C04079F69CC1C11240C44256B2818352C0418A0F14C1C11240E88521C3818352C001B458D1B9C11240A471110D828352C0000A369C9CC11240ACCFD958828352C0402987A282C1124094AD8B61828352C040DE6EA77FC11240707324A9828352C0C0AA66A361C11240B00905AC828352C0C0A8BC9C60C112407CB23EF2828352C0C0B1077E47C11240D049471D838352C0402A17AE37C11240A095B52C838352C0C0CBDA0132C112409800BC38838352C080CCBD972DC112405C4F0C7A838352C080A00D3514C112402C7B26BC838352C0C1B53C32FDC0124024394402848352C0C0180255E3C01240C073EC29848352C08027CD77D4C0124060216A3D848352C040618B29CDC012404098083F848352C000885C94CCC01240C87A153F848352C0C11EBB8FCCC0124024FE654D858352C0808CB363CFC012401C0F184C858352C0406395E9CFC01240DC57E542858352C08006E19AD3C012400CAFD733858352C080AD82A1D9C012400885B7F0848352C0009178D2F2C012400418B696848352C0005A52E114C1124098ECC56E848352C000AE3DB123C112406C327262848352C0000F6B4328C11240C46CAF56848352C000432DA02CC1124070494F3D848352C0C1B3ED0A36C112400C223D38848352C0C0625CEB37C1124038F550F4838352C0C0E1A5E551C112403812F0EA838352C080CA086855C11240C0579CB3838352C0406D66186AC112407C12AC65838352C000D5B42386C11240D4BCB224838352C000BCF44D9FC112407026BCF0828352C04075524BB2C11240EC11ABEB828352C080AA5629B4C112408C730FC7828352C040231486C1C112408CE26ACA828352C091BCA7FBC2C11240DC4CFBCF828352C081746C6AC4C112406F21B8DD828352C02E40DFABC6C11240D3DEE9F0828352C0378902C4C8C1124054711809838352C0004EBCA5CAC11240DCBEC00C838352C040C095CBCAC11240CD05F519838352C0B5359A81CBC11240A0759728838352C0B4410D19CCC11240D8CE6138838352C040E9178FCCC112400420B841828352C0804779FAC9C11240;1;1005587;137215;Mon Mar 02 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Conservacion;Zona 01;USAQUEN;SANTA BARBARA;SANTA BIBIANA;Marzo;Sello de Fisuras;KAREM VANESSA LEGUIZAMON LISCANO;ING.MARY LUZ MORA / ING. JESUS FORERO;0;0
1219;0106000020E610000001000000010300000001000000390000007C109C0FFC8252C0404C9B027DA81240B45E1D11FD8252C040F55D196DA8124004C45495FE8252C0407F84EF6AA812401CC9CBEBFF8252C080A9EAC268A81240D46949ECFF8252C000811CC268A81240E4449AFCFF8252C0C0749AA768A81240F4C596FFFF8252C040FF21B168A81240605E0500008352C0008412B268A812400C938003008352C080DAF1B268A812405CDB2404008352C0C0F9DEB168A81240A68F96AA008352C0916991AA68A812406EADBA4F018352C01E1CE75D67A81240049617F1018352C08073DCD064A8124031F65C24028352C01603BF3364A81240E0624456028352C0C0509C3E63A812404FF593E2028352C0AD6E3D0D5FA81240BA438468038352C060F7861C5AA81240E80111E7038352C0C0C5127654A81240C4363ECD088352C080EB827D18A81240845DD421098352C0409439AF14A81240508065FB098352C0C07BF9B10AA81240049BA4730A8352C0C0E0322D05A81240D04A72D70A8352C00047177D00A812409CA48B10088352C0406972EA30A8124049448ADB078352C017DFC54631A81240A10A1CA8078352C0F452C72732A812403EED8A77078352C05F37D38733A812405C820E4B078352C000F3165E35A8124058EF9293048352C000CA55C953A81240B01BD483048352C001AF0BD754A812401A80B8FC038352C05E1C64B75BA8124039505B6D038352C05412C4E761A81240582EA1D6028352C080D64C5E67A8124013BE5328028352C0F31D1E2A6DA812407CDB386F018352C017141D7571A812403C939DAE008352C0CE89B02B74A812401431F1E9FF8252C08096754175A8124024231FD5FF8252C04055507C75A812409E046014FF8252C019DAC9EA75A81240F80F5654FE8252C0008AFE0877A81240575481E8FD8252C0497FA6FD76A8124093A3CA7DFD8252C0BA2AA3F577A81240841E9E16FD8252C0C07553EB79A81240F01035EDFC8252C00003D9047BA81240DCF620DEFC8252C0C04EDF777BA812407CFAA9D3FC8252C0C0CAEDA87BA81240578FD8CEFC8252C0FCE59CB37BA81240D08C33CAFC8252C054B5BACA7BA81240C8CDDAC5FC8252C03BADA8ED7BA812401022ECC1FC8252C0D13C771B7CA81240F48182BEFC8252C0F838EC527CA812403F55B5BBFC8252C00C478B927CA81240B9D297B9FC8252C0950DA0D87CA81240587C38B8FC8252C000E549237DA812408C16A1B7FC8252C080A4CC707DA81240FCD9AAB2FC8252C08074C26A7DA812407C109C0FFC8252C0404C9B027DA81240;1;2000835;143167;Tue Jul 28 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;IMV-PR-003;Zona 02;CHAPINERO;EL REFUGIO;LOS ROSALES;Julio;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING. MARY LUZ MORA / ING. ALEXANDER SANDOVAL;28;28
1220;0106000020E6100000010000000103000000010000001900000054F116ADDB8952C000D4A8763C781240209C98F3E18952C0C00D84C72B781240BC3B5A02E28952C0ECE2C6802B781240C42E6D10E28952C041D8931C2B781240B8E9961DE28952C080BC8B9C2A7812406A2C0B2DE28952C0B10C34CF29781240122F2B3AE28952C0B475E1DB2878124005DC9A44E28952C0401B3FC927781240080F9C5EE28952C000938F9630781240F856427CE28952C0C0AFC19F3A78124047B27D73E28952C048C877E539781240400EF768E28952C07C34284439781240BF85F45CE28952C06F5105C038781240CC15C64FE28952C0312D7F5C38781240DB88C341E28952C072A12C1C38781240172E4A33E28952C0CD14BA0038781240EC6BBA24E28952C08055DE0A38781240603DC023E28952C000E9F20C38781240488095A1DC8952C0411314C0467812403B282A92DC8952C05793DDF146781240CF967783DC8952C052418D4B477812404347E475DC8952C052C2B1CA47781240E0E1CE69DC8952C0808FD46B4878124000863DD1DB8952C0804D65054A78124054F116ADDB8952C000D4A8763C781240;1;8007412;146391;Thu Jul 09 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;KENNEDY CENTRAL;CIUDAD KENNEDY CENTRAL;Julio;Parcheo;KAREM VANESSA LEGUIZAMON LISCANO;ING. MARY LUZ MORA / ING.JESUS FORERO;65;65
1221;0106000020E6100000010000000103000000010000002D0000008C2F7BBB408852C0816F714DB479124004E494BC408852C0EEF951DBB3791240A05206BD408852C080A41068B3791240705EE5CE418852C080424334F77812402CA748E1418852C0C025AA1FEA781240FC0E84E5418852C0C06EAD78E87812405AC6DBE5418852C0651BE239E77812400CD3CBE3418852C000FEC0FCE5781240A1D477DE418852C098C521E8E47812407BD070D6418852C03131BAE4E37812409FCBEBCB418852C03C933BF9E2781240FA402EBF418852C04852B92BE278124074568CB0418852C0DBC78081E17812402DB166A0418852C0603BF6FEE078124025F7278F418852C084E077A7E0781240DC0E427D418852C08098477DE0781240DC542FB5418852C080F6B75AE0781240602E1D31428852C080A17B0EE078124088F65ACB428852C0C04B97AFDF781240185D1AC9428852C0C0D8C2E7DF7812402BE215C4428852C0840ABA76E0781240F0FBDDBF428852C08089270CE1781240C8F36EBA428852C0507CE221E2781240060ABBB7428852C06275AC41E378124055ABD2B7428852C05397B064E47812402048B5BA428852C040680684E5781240748BFFBC428852C000DF2707E6781240C5572BA8428852C040A995E1F67812401CC7DCA3418852C0C079E255B07912406CAF4FA3418852C05A82AAFBB0791240EE4826A4418852C0E19C23A1B179124058BA5CA6418852C0C00D5643B2791240825E8EAA418852C087826EF6B2791240DE726EB0418852C025F2FC9CB3791240BFBDD8B7418852C0B36DFE32B4791240E3869FC0418852C0F911D6B4B479124054B18CCA418852C0044E631FB5791240100963D5418852C0272B1570B579124060BCDFE0418852C0A31FFAA4B5791240DCF7BBEC418852C0400ACCBCB5791240684C1D1E418852C04043102CB6791240F81AAAAB408852C00190BC69B6791240C0D0B7B2408852C08E21EDC3B5791240C70909B8408852C076404A0EB57912408C2F7BBB408852C0816F714DB4791240;1;8007273;147665;Mon Sep 07 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;AMERICAS;HIPOTECHO SUR;Septiembre;Cambio de Losas;LUISA FERNANDA PÉREZ PACHÓN;ING. MANUEL AVILA / ING. RAMIRO ROBLES;372.85;0
1222;0106000020E61000000100000001030000000100000018000000059A13D7788952C04088C9A709671240603A8B16748952C040AEAE335366124080CA2FEB748952C040E91FDA4D661240A07527B4798952C0803CB85207671240494C3BBA798952C095FD7A4808671240830F44C2798952C03B81692F096712409C691ECC798952C090228C030A67124034059FD7798952C080E73DC10A671240CCCC45DC798952C000CD41000B671240E87455DD798952C0C064480E0B671240189209E1798952C04095FD3C0B671240800B35E7798952C0802814870B671240E0F383ED798952C0001F35CD0B67124050A1ECF3798952C0C036E80E0C671240DDF5CF0B7A8952C0C230CAD90C671240ACEA23257A8952C080A482710D671240B8453073798952C080680D8F11671240508583E0788952C080BC5FF3146712403D4295EA788952C0DB10C51A136712401D150EF0788952C0C201322F116712409191CDF0788952C0E04F073C0F671240F948CFEC788952C09AB8D24C0D671240B8E42AE4788952C067800A6D0B671240059A13D7788952C04088C9A709671240;1;8011453;148985;Wed Feb 26 00:00:00 COT 2020;Infraestructura y Gestión de Tránsito;Misionalidad;Zona 05;KENNEDY;CARVAJAL;LAS DELICIAS;Febrero;Parcheo;CESAR AUGUSTO PINTO BARRIOS;ING.MARY LUZ MORA / ING. JESUS FORERO;85.66;33
